prefix	equation
/ (* 5 10) 7	what is five * ten divided by 7?
* (+ 3 6) 5	I want to calculate 3 + six * five?
/ (/ 9 5) 5	what is nine divided by five divided by 5?
+ (* 4 4) 3	How many is four multiplied by four plus 3?
- (+ 4 10) 7	what is four plus ten - seven?
- (* 10 1) 4	I want to calculate ten multiplied by one - 4?
+ (/ 8 3) 3	I want to calculate 8 / 3 plus three?
- (- 3 1) 7	what is three - one extracted by 7?
/ (+ 2 6) 9	How many is two + six divided by nine?
+ (+ 5 4) 3	How many is five plus four added with three?
* (+ 2 8) 7	How many is 2 plus eight * seven?
* (* 7 10) 6	I want to calculate seven multiplied by 10 multiplied by six?
+ (- 2 1) 6	I want to calculate 2 extracted by one + six?
- (* 9 7) 6	How many is nine * seven minus 6?
+ (/ 5 5) 8	what is five divided by 5 plus eight?
+ (- 7 1) 10	I want to calculate 7 - 1 plus ten?
/ (* 7 6) 5	How many is seven * 6 / five?
/ (* 6 8) 1	I would like to know what is 6 * 8 / 1?
* (* 3 4) 5	I want to calculate three multiplied by 4 times five?
* (* 10 3) 5	I want to calculate ten * three * five?
/ (/ 1 10) 10	I would like to know what is one / 10 / 10?
/ (/ 3 6) 1	what is 3 divided by 6 divided by 1?
/ (/ 1 3) 9	I want to calculate 1 / three / nine?
/ (+ 7 9) 5	How many is seven added with 9 / five?
+ (* 1 4) 7	How many is 1 multiplied by 4 plus 7?
- (- 7 8) 1	I would like to know what is 7 - eight extracted by one?
* (/ 5 10) 1	I would like to know what is 5 divided by 10 * one?
/ (* 10 2) 8	I would like to know what is ten multiplied by two / eight?
- (- 8 10) 5	How many is eight - 10 - five?
+ (/ 8 7) 5	what is eight / 7 added with five?
* (/ 4 4) 10	I would like to know what is four divided by 4 multiplied by ten?
* (- 4 2) 9	I want to calculate 4 extracted by 2 * nine?
- (- 6 7) 2	what is six extracted by seven minus two?
* (- 10 6) 9	I would like to know what is ten minus six times nine?
- (+ 3 2) 2	I want to calculate three plus two extracted by 2?
+ (+ 1 7) 1	I want to calculate one plus seven + 1?
+ (/ 9 8) 3	I would like to know what is nine divided by 8 added with three?
* (/ 5 10) 9	I would like to know what is five / ten times 9?
+ (* 7 8) 3	How many is seven multiplied by eight plus three?
/ (- 10 6) 9	what is 10 extracted by 6 divided by nine?
+ (- 10 3) 9	I want to calculate ten - 3 + 9?
/ (+ 4 5) 1	I would like to know what is four plus five / 1?
* (+ 8 5) 2	How many is 8 added with 5 times 2?
+ (/ 1 9) 4	I want to calculate one / nine plus four?
- (- 7 1) 3	what is 7 - one extracted by three?
/ (* 5 4) 8	How many is 5 times 4 divided by 8?
- (- 2 1) 5	I want to calculate two minus one minus 5?
+ (* 5 10) 8	I want to calculate 5 times ten plus eight?
/ (+ 2 2) 4	what is two added with 2 divided by four?
- (+ 5 9) 2	I want to calculate five plus 9 minus two?
+ (/ 2 3) 6	I want to calculate 2 / 3 added with six?
+ (* 9 5) 3	I want to calculate nine times 5 plus 3?
/ (* 4 2) 7	I want to calculate four multiplied by 2 divided by seven?
+ (+ 10 4) 8	I would like to know what is ten added with 4 + eight?
/ (/ 1 2) 1	I would like to know what is one / two / 1?
+ (* 2 2) 6	I would like to know what is 2 times two added with six?
* (* 5 4) 5	what is 5 times four * 5?
* (/ 9 6) 6	I want to calculate 9 / 6 multiplied by 6?
+ (+ 9 8) 6	what is nine plus eight + six?
- (* 1 8) 3	How many is 1 multiplied by 8 minus three?
* (+ 10 3) 4	I want to calculate ten + 3 times four?
/ (+ 5 7) 6	I want to calculate five added with seven / six?
- (- 7 1) 5	I want to calculate 7 extracted by one minus 5?
- (+ 3 10) 7	How many is three plus 10 - 7?
- (+ 3 9) 4	How many is three plus nine - 4?
* (- 2 9) 4	what is 2 minus nine * four?
- (- 4 6) 6	I would like to know what is four minus six - six?
/ (+ 7 4) 9	I want to calculate 7 + 4 divided by 9?
+ (* 8 2) 10	How many is 8 times two plus 10?
/ (* 6 1) 7	I want to calculate six * one divided by seven?
* (/ 4 5) 2	How many is 4 / five * 2?
/ (* 4 3) 6	I would like to know what is four * three divided by 6?
- (+ 3 7) 10	How many is 3 added with seven - 10?
/ (- 8 8) 5	I would like to know what is 8 minus eight / five?
- (- 9 7) 7	How many is 9 - seven - seven?
/ (- 10 2) 4	I would like to know what is 10 minus two divided by four?
- (/ 1 9) 3	what is 1 divided by 9 extracted by 3?
* (- 10 9) 7	I would like to know what is 10 minus 9 * seven?
+ (/ 4 1) 1	How many is four divided by one + one?
- (* 9 6) 10	How many is 9 multiplied by 6 extracted by ten?
* (+ 2 3) 3	How many is 2 plus 3 multiplied by 3?
+ (- 7 7) 3	How many is seven - seven added with three?
+ (* 2 8) 2	How many is 2 times 8 plus two?
- (+ 7 1) 10	I would like to know what is 7 + 1 extracted by ten?
+ (+ 1 6) 10	How many is one + 6 plus ten?
+ (/ 5 4) 5	I want to calculate 5 divided by 4 added with five?
+ (+ 7 4) 4	what is seven plus four plus four?
/ (/ 4 9) 4	what is four / 9 / four?
+ (/ 3 4) 7	I would like to know what is 3 divided by 4 + 7?
+ (* 8 10) 4	what is 8 times 10 + 4?
/ (/ 5 9) 1	what is five / nine / 1?
- (* 2 1) 8	what is 2 * one extracted by 8?
/ (/ 6 3) 5	I want to calculate 6 divided by 3 / five?
+ (- 9 7) 10	I would like to know what is nine minus 7 plus ten?
/ (* 3 10) 4	what is three multiplied by ten divided by 4?
/ (* 6 6) 7	I want to calculate 6 multiplied by 6 divided by seven?
+ (+ 3 5) 1	How many is three plus five added with one?
- (- 2 2) 5	I would like to know what is two minus two minus five?
/ (* 8 2) 9	How many is eight * two / 9?
+ (+ 9 3) 9	I want to calculate nine added with three + nine?
+ (- 3 2) 6	I would like to know what is three - 2 + 6?
/ (+ 8 4) 5	I want to calculate 8 plus 4 / 5?
+ (* 4 7) 9	I would like to know what is four times seven plus nine?
- (/ 1 7) 4	I want to calculate one / seven - 4?
* (+ 4 1) 9	How many is four added with 1 times nine?
+ (+ 6 5) 7	I want to calculate 6 + five plus 7?
- (+ 8 1) 9	I would like to know what is eight added with one - nine?
/ (/ 7 3) 1	I want to calculate 7 divided by 3 divided by one?
/ (+ 8 4) 10	How many is eight + four / ten?
* (- 2 7) 4	what is 2 minus seven multiplied by 4?
* (/ 5 1) 3	I would like to know what is five divided by 1 times 3?
/ (+ 6 5) 8	I want to calculate 6 + 5 / 8?
/ (/ 2 6) 7	I would like to know what is 2 divided by 6 / seven?
- (- 3 10) 4	I would like to know what is three extracted by ten minus 4?
- (/ 2 5) 2	How many is two / five minus two?
+ (+ 1 2) 2	How many is one + two added with two?
- (/ 6 6) 3	How many is 6 divided by six extracted by 3?
+ (- 10 8) 3	How many is ten - eight + 3?
/ (+ 6 10) 9	How many is 6 plus 10 divided by 9?
/ (* 6 1) 5	I want to calculate six times one divided by 5?
- (/ 9 3) 8	How many is nine divided by three - 8?
* (* 6 5) 9	I would like to know what is six times 5 times nine?
+ (+ 10 1) 6	How many is 10 plus 1 + six?
+ (+ 9 10) 10	what is nine + ten + 10?
+ (- 2 4) 5	what is two - 4 + 5?
- (- 3 10) 7	what is 3 extracted by ten minus 7?
+ (* 8 1) 1	How many is eight * 1 plus one?
* (- 2 1) 9	How many is 2 extracted by one times nine?
/ (- 7 8) 4	I would like to know what is 7 - 8 divided by 4?
/ (* 2 5) 10	I would like to know what is two * 5 / 10?
- (- 3 8) 10	How many is three - eight extracted by ten?
* (- 6 10) 9	what is 6 - ten multiplied by 9?
+ (* 5 8) 7	I would like to know what is five multiplied by 8 plus 7?
- (* 8 5) 1	How many is eight multiplied by 5 minus 1?
+ (* 7 6) 9	I would like to know what is 7 times 6 + 9?
* (- 7 1) 10	I want to calculate seven minus one * ten?
/ (- 10 2) 2	I want to calculate ten - two / 2?
/ (/ 10 5) 5	I want to calculate 10 divided by five divided by 5?
+ (/ 1 6) 10	what is 1 divided by six added with 10?
/ (* 4 6) 5	I would like to know what is 4 * 6 / five?
- (+ 7 2) 9	I would like to know what is 7 + 2 extracted by 9?
* (/ 4 6) 8	I would like to know what is four divided by 6 multiplied by 8?
- (- 8 2) 4	How many is 8 minus 2 - four?
- (- 7 6) 6	I want to calculate seven minus six extracted by 6?
* (/ 5 3) 9	I would like to know what is 5 / 3 times nine?
+ (/ 4 4) 10	How many is four divided by four plus ten?
+ (+ 8 2) 5	I would like to know what is eight plus two added with five?
/ (+ 5 1) 1	I would like to know what is five + 1 / 1?
- (* 1 6) 1	I would like to know what is 1 multiplied by 6 extracted by one?
* (- 10 5) 1	I would like to know what is 10 - 5 times one?
+ (- 4 3) 6	I want to calculate 4 - three + six?
* (+ 4 9) 4	I want to calculate 4 added with 9 * four?
+ (+ 6 4) 2	what is 6 + four added with two?
/ (* 6 7) 4	How many is six * 7 divided by 4?
/ (* 4 10) 8	what is 4 * 10 / 8?
- (* 3 9) 10	I want to calculate 3 times 9 extracted by 10?
* (+ 1 9) 6	what is one + 9 * six?
+ (/ 9 8) 9	How many is 9 divided by eight + nine?
* (+ 8 10) 8	I would like to know what is eight added with 10 * 8?
* (* 2 6) 7	what is 2 multiplied by 6 times seven?
+ (* 9 4) 9	I want to calculate nine multiplied by four plus nine?
* (+ 5 5) 4	what is five plus 5 multiplied by four?
+ (* 5 3) 1	I want to calculate 5 * three + one?
+ (+ 3 7) 3	I want to calculate three plus seven plus 3?
* (- 7 9) 9	How many is seven - 9 times 9?
- (+ 1 5) 5	what is one added with 5 minus 5?
- (+ 5 8) 9	How many is 5 added with eight minus nine?
* (- 2 6) 6	what is 2 extracted by 6 multiplied by six?
/ (/ 1 10) 8	How many is 1 divided by ten divided by 8?
* (* 6 9) 8	How many is six multiplied by 9 multiplied by 8?
/ (/ 3 3) 2	I would like to know what is 3 / 3 divided by two?
+ (+ 7 10) 5	I would like to know what is seven plus 10 + five?
/ (/ 5 6) 2	I want to calculate five divided by six / 2?
/ (- 5 4) 7	what is 5 - four / 7?
- (/ 9 2) 5	I want to calculate 9 divided by 2 extracted by 5?
* (+ 3 5) 3	I would like to know what is 3 added with 5 * three?
/ (/ 3 7) 10	How many is three divided by seven / ten?
/ (+ 1 7) 6	I would like to know what is one + seven divided by 6?
+ (- 2 5) 10	I want to calculate 2 - five plus 10?
/ (+ 2 5) 7	I would like to know what is two plus five / seven?
- (/ 10 2) 10	I want to calculate ten divided by 2 minus ten?
* (- 8 9) 4	what is 8 - 9 times 4?
* (* 8 2) 9	I want to calculate eight * two multiplied by nine?
+ (- 10 7) 7	what is ten - 7 plus seven?
/ (/ 7 7) 4	How many is 7 / seven / four?
/ (* 9 2) 6	How many is 9 times 2 / 6?
+ (/ 3 5) 4	I would like to know what is 3 divided by 5 + 4?
* (/ 3 7) 5	what is three / 7 times 5?
/ (+ 9 10) 6	I want to calculate nine + ten divided by six?
+ (/ 4 3) 7	what is four / three + 7?
* (+ 10 2) 9	I would like to know what is 10 + 2 multiplied by 9?
* (+ 5 4) 8	I would like to know what is 5 plus 4 * eight?
* (+ 4 5) 1	what is four added with five * one?
- (/ 3 2) 7	I want to calculate three / 2 minus seven?
* (/ 9 5) 8	I want to calculate 9 divided by 5 times 8?
- (* 4 5) 9	what is four multiplied by 5 minus 9?
+ (- 7 9) 8	I want to calculate 7 - nine added with 8?
- (- 8 3) 8	I would like to know what is eight - three minus eight?
- (* 5 4) 9	what is five * 4 minus nine?
/ (+ 3 10) 9	what is three + ten / 9?
/ (/ 6 8) 1	what is six / eight divided by 1?
- (+ 2 3) 3	How many is two plus 3 extracted by three?
/ (* 3 7) 4	I want to calculate 3 times seven divided by four?
/ (/ 2 2) 4	what is 2 / 2 / four?
/ (+ 3 6) 6	I would like to know what is 3 added with 6 / six?
+ (- 2 4) 5	I would like to know what is 2 minus four added with 5?
* (* 6 2) 10	I would like to know what is 6 multiplied by two multiplied by ten?
+ (/ 2 9) 5	How many is two divided by 9 added with 5?
+ (/ 10 5) 10	I would like to know what is 10 divided by five plus 10?
+ (* 8 10) 9	I would like to know what is 8 multiplied by 10 added with 9?
/ (/ 9 9) 10	How many is 9 / 9 / ten?
* (- 8 1) 5	I want to calculate 8 minus one times five?
* (/ 10 10) 3	what is 10 divided by 10 * three?
+ (- 7 1) 7	How many is 7 extracted by 1 plus seven?
/ (- 7 3) 9	How many is seven extracted by three / nine?
- (+ 10 7) 4	what is 10 + seven extracted by 4?
- (/ 9 1) 5	I would like to know what is nine / 1 extracted by five?
* (/ 1 4) 4	How many is one / four times four?
/ (- 3 2) 4	I would like to know what is 3 minus 2 / 4?
+ (* 2 6) 9	what is 2 * 6 + nine?
+ (/ 4 7) 8	what is 4 / seven + 8?
/ (* 7 3) 8	what is seven multiplied by 3 divided by 8?
+ (/ 8 4) 2	what is 8 divided by 4 + two?
+ (+ 3 4) 6	How many is three + 4 plus 6?
- (- 8 3) 5	How many is 8 extracted by three minus five?
- (+ 4 3) 8	I want to calculate 4 + three - 8?
* (- 7 6) 10	I want to calculate seven minus six times 10?
- (* 8 10) 1	How many is eight multiplied by 10 extracted by 1?
* (/ 5 9) 7	How many is 5 divided by nine multiplied by 7?
/ (* 8 3) 2	I would like to know what is eight * 3 / 2?
- (/ 7 4) 1	I want to calculate 7 / 4 - 1?
/ (- 6 2) 7	I would like to know what is six minus 2 / 7?
/ (* 1 5) 8	I want to calculate 1 * five / 8?
- (/ 8 3) 4	what is 8 divided by 3 extracted by 4?
* (* 3 4) 7	what is three * 4 * seven?
/ (* 2 9) 2	How many is two times 9 divided by two?
* (* 6 10) 5	what is six times ten multiplied by five?
* (/ 4 2) 2	what is 4 divided by 2 * two?
* (- 5 3) 4	I would like to know what is 5 - three times four?
- (- 4 8) 7	what is 4 extracted by 8 minus 7?
/ (* 3 1) 8	I want to calculate 3 multiplied by 1 divided by eight?
- (/ 6 9) 10	How many is 6 divided by nine extracted by 10?
+ (- 5 9) 5	How many is five minus 9 + five?
/ (/ 6 5) 3	How many is 6 / five divided by 3?
- (/ 6 2) 10	How many is six divided by 2 extracted by ten?
/ (* 8 9) 7	How many is 8 times 9 / seven?
+ (- 1 6) 10	I would like to know what is one - six + ten?
+ (+ 8 4) 1	what is eight + four plus one?
* (/ 5 6) 6	what is five divided by six times 6?
- (+ 2 3) 4	I would like to know what is two + 3 extracted by 4?
- (+ 8 2) 6	How many is eight added with 2 extracted by six?
+ (* 6 9) 1	I would like to know what is 6 multiplied by nine added with one?
* (* 6 4) 8	what is 6 * four multiplied by eight?
* (- 7 5) 2	I would like to know what is 7 - 5 * two?
+ (/ 9 1) 8	How many is 9 / 1 added with 8?
+ (- 10 5) 1	I would like to know what is ten minus five + one?
/ (/ 3 9) 6	I would like to know what is 3 divided by nine divided by six?
- (- 1 2) 8	I would like to know what is one extracted by 2 extracted by eight?
* (+ 1 5) 7	I want to calculate 1 plus five times 7?
* (/ 4 10) 1	what is four / 10 * one?
+ (/ 8 9) 1	I would like to know what is eight divided by nine added with 1?
* (/ 10 1) 10	what is 10 / one multiplied by 10?
/ (/ 3 2) 2	How many is 3 divided by two divided by 2?
/ (* 2 7) 5	How many is two times 7 / five?
+ (+ 5 6) 9	I want to calculate five plus 6 added with nine?
* (+ 3 10) 6	I want to calculate 3 added with ten multiplied by six?
/ (+ 8 9) 8	what is eight plus nine divided by eight?
- (+ 8 2) 6	what is 8 plus two extracted by six?
+ (- 10 3) 3	I would like to know what is ten - three added with three?
/ (+ 9 8) 3	I would like to know what is nine added with 8 / 3?
/ (+ 2 2) 8	I want to calculate two plus two / eight?
- (/ 4 5) 1	I want to calculate four divided by five extracted by 1?
+ (* 8 4) 4	I want to calculate 8 * 4 added with 4?
* (+ 10 3) 7	I would like to know what is ten added with 3 times 7?
- (+ 3 3) 4	what is three + 3 minus four?
/ (- 10 6) 4	I want to calculate 10 minus 6 divided by four?
- (* 8 6) 5	I want to calculate eight * six extracted by 5?
* (- 10 5) 8	I would like to know what is ten minus five multiplied by 8?
- (- 1 9) 10	How many is 1 minus nine extracted by ten?
- (- 2 2) 9	How many is 2 extracted by two - nine?
+ (/ 6 8) 5	I would like to know what is 6 divided by 8 added with 5?
/ (+ 1 10) 7	I would like to know what is 1 + ten divided by seven?
- (+ 2 10) 4	I would like to know what is 2 added with 10 minus 4?
/ (/ 4 4) 5	I want to calculate 4 / 4 / five?
/ (* 3 6) 1	what is three times 6 / one?
/ (+ 3 8) 7	I want to calculate three + 8 divided by seven?
+ (/ 2 1) 8	I want to calculate 2 / one added with 8?
/ (- 8 2) 3	How many is 8 - two / 3?
* (- 2 9) 2	How many is two - 9 * two?
- (+ 2 4) 2	How many is 2 added with four - 2?
+ (/ 8 9) 6	what is 8 divided by nine added with 6?
* (* 10 9) 6	I want to calculate 10 * 9 multiplied by 6?
+ (/ 1 7) 4	I want to calculate 1 divided by 7 + four?
* (* 1 7) 2	How many is one multiplied by seven times two?
+ (/ 5 2) 7	I would like to know what is five divided by 2 + seven?
/ (- 3 5) 5	How many is three extracted by five divided by five?
+ (+ 6 4) 1	How many is 6 + four plus 1?
/ (+ 1 3) 1	I would like to know what is one plus 3 / 1?
- (- 9 9) 3	How many is 9 minus 9 minus 3?
+ (+ 6 5) 10	How many is six added with five + ten?
/ (* 9 4) 10	I want to calculate 9 multiplied by 4 / ten?
/ (+ 5 8) 5	I want to calculate 5 plus eight divided by five?
* (+ 2 7) 7	what is two added with 7 * seven?
* (/ 8 1) 3	I would like to know what is 8 / 1 * three?
+ (- 6 3) 8	what is 6 minus 3 + 8?
/ (- 3 2) 3	what is three minus two / three?
+ (+ 5 5) 6	How many is 5 plus five plus 6?
- (- 8 6) 9	I would like to know what is eight minus six minus nine?
+ (+ 5 2) 7	I would like to know what is 5 plus two + 7?
* (* 6 7) 10	I would like to know what is 6 multiplied by 7 times 10?
+ (* 4 7) 7	what is 4 * seven + 7?
/ (/ 5 1) 10	I would like to know what is 5 divided by 1 / ten?
+ (/ 6 10) 10	what is six divided by ten + ten?
- (+ 1 8) 9	How many is 1 plus eight - 9?
/ (/ 7 5) 7	I want to calculate 7 / 5 / 7?
+ (* 10 10) 8	How many is ten multiplied by ten + eight?
/ (+ 8 1) 6	I would like to know what is 8 added with one divided by six?
+ (/ 1 5) 9	How many is 1 / 5 plus 9?
/ (+ 8 9) 2	I would like to know what is eight + 9 divided by 2?
- (+ 6 2) 4	what is 6 added with two - 4?
/ (* 7 3) 7	I would like to know what is 7 multiplied by 3 / seven?
/ (* 3 10) 10	I want to calculate three times 10 / ten?
/ (- 2 7) 6	I would like to know what is 2 extracted by 7 divided by 6?
/ (* 2 8) 1	I would like to know what is two * 8 divided by one?
- (- 8 4) 5	I want to calculate eight - four - five?
/ (- 2 9) 8	I would like to know what is 2 - 9 / 8?
- (- 6 4) 6	what is 6 minus 4 extracted by 6?
* (- 8 2) 2	I would like to know what is eight extracted by two multiplied by two?
+ (+ 4 7) 7	I want to calculate four added with seven added with 7?
* (/ 4 5) 3	How many is 4 / five times three?
/ (* 2 10) 6	I want to calculate 2 * ten divided by 6?
+ (+ 2 5) 7	How many is 2 added with five + 7?
* (/ 9 3) 2	I want to calculate nine divided by three multiplied by two?
+ (- 2 2) 3	what is 2 minus two added with three?
+ (- 3 1) 3	How many is 3 extracted by one + 3?
- (* 8 10) 2	what is 8 multiplied by 10 extracted by 2?
/ (* 6 3) 8	I would like to know what is 6 * 3 / 8?
/ (- 3 7) 8	what is three extracted by seven / eight?
* (+ 10 3) 4	what is ten added with three multiplied by four?
+ (+ 6 7) 5	what is six + seven plus five?
- (/ 5 10) 8	I want to calculate 5 divided by ten extracted by eight?
- (/ 8 4) 3	I want to calculate 8 / four - 3?
- (+ 2 3) 6	what is two added with three minus 6?
* (* 7 9) 3	I want to calculate 7 times nine * three?
* (/ 4 9) 5	I would like to know what is four divided by nine times five?
- (- 10 7) 2	I want to calculate 10 minus 7 - 2?
* (- 5 1) 7	what is five - one times seven?
+ (* 1 3) 9	what is one multiplied by three added with 9?
- (* 7 5) 2	what is 7 multiplied by 5 extracted by 2?
/ (- 1 8) 6	How many is one - 8 divided by 6?
* (- 10 6) 1	I want to calculate 10 - six * one?
+ (- 10 4) 6	I want to calculate 10 - four + six?
+ (- 10 6) 10	I want to calculate 10 - six added with ten?
+ (* 5 6) 10	what is five multiplied by six plus 10?
+ (* 9 3) 2	How many is nine times 3 added with two?
- (+ 10 7) 9	I would like to know what is 10 + 7 extracted by 9?
- (- 1 6) 3	I would like to know what is one extracted by six extracted by 3?
* (/ 10 6) 8	I would like to know what is ten divided by 6 multiplied by eight?
+ (* 3 9) 1	what is 3 * nine added with 1?
- (/ 9 4) 7	I want to calculate nine divided by 4 - 7?
* (* 7 10) 3	what is seven * 10 * 3?
+ (- 9 2) 5	I would like to know what is 9 extracted by two plus five?
+ (- 9 4) 9	what is nine extracted by four added with 9?
/ (- 10 1) 10	what is 10 - one / 10?
- (- 10 10) 10	I want to calculate 10 extracted by 10 - 10?
/ (* 6 2) 6	I want to calculate 6 * 2 divided by six?
- (/ 10 2) 6	How many is 10 / 2 extracted by 6?
- (+ 2 10) 3	How many is two + 10 minus three?
/ (/ 7 9) 8	How many is 7 divided by 9 divided by eight?
* (* 5 7) 3	How many is 5 * seven multiplied by three?
* (- 5 6) 10	I would like to know what is 5 minus six * 10?
/ (/ 9 2) 8	I would like to know what is nine / two divided by eight?
+ (/ 7 3) 6	I want to calculate seven divided by 3 plus 6?
/ (* 3 1) 7	How many is three multiplied by 1 divided by 7?
+ (- 2 9) 8	what is two - nine + eight?
/ (+ 1 8) 4	I want to calculate 1 + eight / four?
/ (* 9 6) 10	I would like to know what is nine * six / 10?
- (- 6 1) 7	I would like to know what is six - one minus 7?
- (+ 2 4) 1	what is 2 + 4 extracted by one?
* (* 9 8) 7	I would like to know what is 9 times 8 times 7?
+ (/ 8 1) 7	How many is 8 / one plus 7?
- (+ 9 8) 3	what is nine plus eight extracted by 3?
/ (- 4 3) 5	I want to calculate four extracted by three divided by 5?
* (* 9 2) 7	I want to calculate nine * two multiplied by 7?
/ (+ 9 2) 2	what is nine + two / two?
+ (/ 9 10) 6	I want to calculate 9 divided by 10 + 6?
+ (/ 3 2) 8	How many is three divided by 2 added with eight?
+ (+ 4 10) 6	How many is 4 plus 10 added with six?
- (/ 4 6) 7	How many is four divided by 6 extracted by seven?
- (+ 10 1) 8	what is ten plus one minus eight?
+ (* 10 6) 5	How many is 10 times 6 + 5?
+ (- 3 5) 5	what is 3 extracted by 5 plus five?
- (+ 1 10) 6	I would like to know what is one plus ten minus 6?
+ (/ 6 1) 2	I want to calculate 6 / one plus 2?
- (/ 2 5) 1	I would like to know what is 2 divided by 5 minus one?
+ (* 5 10) 10	I want to calculate 5 multiplied by 10 added with 10?
/ (- 9 7) 1	How many is nine minus 7 / one?
- (/ 10 4) 1	How many is 10 / 4 - 1?
- (+ 2 5) 6	How many is two plus five minus 6?
/ (* 1 9) 7	I want to calculate 1 multiplied by nine divided by 7?
- (/ 9 4) 1	what is 9 / four - one?
+ (* 1 7) 3	I want to calculate 1 multiplied by seven plus 3?
* (* 8 4) 4	I want to calculate 8 * 4 times four?
* (+ 6 5) 7	I would like to know what is 6 + 5 times 7?
+ (/ 10 1) 8	How many is ten divided by one plus eight?
- (/ 8 10) 10	I want to calculate 8 divided by ten minus ten?
+ (+ 7 9) 4	I would like to know what is 7 plus 9 added with 4?
- (* 1 7) 7	I would like to know what is one * seven - seven?
/ (* 4 8) 5	I would like to know what is four * 8 divided by five?
* (* 2 4) 4	I would like to know what is two * 4 times four?
- (* 9 6) 9	I want to calculate 9 * six extracted by 9?
- (+ 4 2) 3	I would like to know what is four plus 2 - three?
+ (* 8 6) 7	I want to calculate 8 multiplied by six + seven?
+ (- 2 2) 7	I want to calculate two minus two plus seven?
+ (/ 8 8) 10	I would like to know what is 8 divided by 8 + 10?
+ (* 9 1) 7	How many is nine multiplied by one + seven?
- (+ 1 9) 4	what is one added with nine extracted by four?
/ (* 3 10) 1	I would like to know what is three times ten divided by one?
- (- 6 8) 8	How many is 6 extracted by eight minus 8?
* (- 10 5) 7	what is ten - 5 multiplied by seven?
- (/ 1 2) 5	I want to calculate 1 divided by two extracted by 5?
- (+ 3 6) 2	what is three + 6 extracted by 2?
- (- 10 1) 4	How many is 10 - one - 4?
/ (+ 8 8) 10	what is 8 plus eight / ten?
+ (* 6 9) 3	what is 6 multiplied by 9 + three?
+ (+ 8 2) 3	I want to calculate eight + 2 + three?
* (+ 7 9) 4	How many is seven plus 9 * 4?
+ (/ 10 3) 2	How many is 10 divided by three added with 2?
* (- 6 10) 4	I want to calculate 6 minus ten times four?
+ (- 7 10) 9	what is seven - ten plus 9?
* (- 5 3) 3	How many is five extracted by three times 3?
* (+ 10 1) 5	I want to calculate ten added with 1 times 5?
- (- 6 4) 9	I would like to know what is six extracted by 4 minus nine?
* (/ 7 6) 6	I would like to know what is seven / six * 6?
- (+ 9 9) 2	I would like to know what is 9 added with 9 minus two?
* (- 6 10) 7	How many is 6 - 10 * seven?
+ (+ 2 1) 3	I want to calculate 2 + one + 3?
/ (/ 1 6) 2	How many is one divided by six divided by 2?
/ (/ 1 1) 9	what is one divided by 1 / 9?
+ (- 6 10) 7	I want to calculate 6 - ten plus seven?
+ (+ 4 7) 9	what is four added with seven plus nine?
+ (- 6 7) 3	How many is six minus seven + three?
+ (* 9 9) 2	How many is nine * 9 plus two?
- (* 10 9) 4	I would like to know what is ten multiplied by 9 - 4?
+ (+ 9 4) 1	I want to calculate 9 + four added with 1?
/ (* 9 2) 9	I want to calculate nine * two / 9?
- (/ 7 6) 3	I want to calculate 7 divided by 6 - 3?
* (+ 5 5) 1	How many is 5 added with 5 times one?
- (/ 9 8) 5	I want to calculate 9 / eight extracted by five?
* (/ 7 6) 1	I would like to know what is seven / 6 times 1?
/ (* 2 3) 8	what is two * 3 / 8?
+ (+ 8 6) 8	How many is 8 + six + 8?
/ (- 7 9) 1	what is 7 - 9 / 1?
+ (+ 10 7) 6	I would like to know what is 10 plus seven added with 6?
* (+ 6 1) 4	How many is 6 + one times four?
+ (- 7 2) 6	what is seven extracted by 2 + 6?
+ (* 8 10) 6	what is eight * 10 added with six?
/ (/ 9 1) 10	I want to calculate nine / one divided by ten?
* (/ 10 10) 7	what is 10 divided by ten multiplied by seven?
/ (+ 2 8) 5	what is two added with 8 / five?
* (- 6 3) 5	I want to calculate six - 3 times five?
/ (* 7 9) 9	I want to calculate 7 multiplied by nine divided by nine?
- (/ 2 7) 1	what is 2 divided by 7 - 1?
- (/ 2 7) 7	I want to calculate two divided by seven - 7?
* (/ 5 3) 9	I want to calculate 5 divided by three times nine?
/ (/ 1 4) 7	I would like to know what is one divided by four / seven?
+ (/ 5 7) 5	what is 5 divided by seven plus five?
- (+ 2 8) 7	How many is 2 + 8 - seven?
- (- 1 3) 8	How many is 1 extracted by three - eight?
- (* 10 4) 8	I would like to know what is 10 times four - 8?
+ (+ 4 6) 4	How many is 4 added with six plus four?
- (- 7 6) 2	How many is 7 minus six - 2?
* (* 8 8) 7	I want to calculate eight multiplied by eight times 7?
* (/ 2 4) 10	I want to calculate two divided by four times 10?
+ (+ 10 9) 6	I want to calculate ten + 9 plus six?
- (+ 5 1) 5	I want to calculate five plus 1 minus 5?
* (* 3 2) 3	I would like to know what is three multiplied by 2 * 3?
/ (/ 10 7) 7	How many is ten / seven divided by 7?
* (+ 3 5) 7	I want to calculate 3 + five * seven?
- (/ 8 1) 4	I would like to know what is eight divided by 1 - 4?
- (/ 5 7) 5	How many is five divided by seven minus five?
+ (- 10 5) 1	what is ten extracted by five plus 1?
- (+ 7 10) 5	what is 7 added with 10 minus five?
+ (- 9 7) 2	what is nine extracted by seven + two?
/ (- 6 3) 8	what is 6 - three / 8?
- (/ 8 4) 4	what is 8 / four extracted by 4?
